brandName,name,price,item_url,category
보나쥬르,가지 BHA 비건 토너 205ml,"25,000",https://www.29cm.co.kr/product/673238,뷰티
베이지크,트리트먼트 로션,"42,000",https://www.29cm.co.kr/product/830206,뷰티
보나쥬르,사해머드 노세범 팩 50ml,"18,000",https://www.29cm.co.kr/product/749184,뷰티
보나쥬르,언더커버 더마 비비크림 30ml,"23,000",https://www.29cm.co.kr/product/748855,뷰티
클레어스,미드나잇블루 유스 액티베이팅 드롭,"29,500",https://www.29cm.co.kr/product/148641,뷰티
야다,선인장 수딩젤,"14,500",https://www.29cm.co.kr/product/892512,뷰티
보나쥬르,퓨어 마일드 맨 올인원 모이스쳐라이져 120ml,"30,000",https://www.29cm.co.kr/product/748784,뷰티
마르마르디,비건 핸드크림 & 립밤 상탈포그 기획세트,"24,000",https://www.29cm.co.kr/product/1310986,뷰티
톤28,블루라이트+UV차단거리(지성용) 45g B2,"38,200",https://www.29cm.co.kr/product/231583,뷰티
톤28,얼굴 씻을거리 S14 초유(아기피부용),"12,000",https://www.29cm.co.kr/product/277807,뷰티
톤28,얼굴 씻을거리 S2 비타민+린씨드오일(건성/투명피부),"11,000",https://www.29cm.co.kr/product/277188,뷰티
톤28,얼굴 씻을거리 S1 로즈힙+호호바오일(건성/보습),"11,000",https://www.29cm.co.kr/product/276122,뷰티
멜릭서,비건 립 앤 핸드케어 키트,"33,000",https://www.29cm.co.kr/product/1328534,뷰티
보나쥬르,쑥 크림 카밍 워시오프 팩 55g,"18,000",https://www.29cm.co.kr/product/748966,뷰티
보나쥬르,멜팅 글로우 카밍 윤광 진정크림 50ml,"30,000",https://www.29cm.co.kr/product/673151,뷰티
톤28,몸 씻을거리 S23 자몽오일 (피부탄력),"11,000",https://www.29cm.co.kr/product/277970,뷰티
세럼카인드,DEEP ANTARCTIC DROP 딥 안타틱 드롭,"43,000",https://www.29cm.co.kr/product/577659,뷰티
세럼카인드,BLACK BLOSSOM HAND SERUM 블랙 블라썸 핸드세럼,"22,000",https://www.29cm.co.kr/product/881520,뷰티
세럼카인드,YOUTH & GLOW 유스 앤 글로우,"40,000",https://www.29cm.co.kr/product/577727,뷰티
보나쥬르,제주밀크 약산성 버블 포밍 클렌저 150ml,"18,500",https://www.29cm.co.kr/product/748510,뷰티
보나쥬르,무기자차 데일리 선크림 35ml (민감성),"25,000",https://www.29cm.co.kr/product/748469,뷰티
보나쥬르,무기자차 위치하젤 수부지 피부 노세범 선크림 40ml,"25,000",https://www.29cm.co.kr/product/746653,뷰티
보나쥬르,프로폴리스 에센셜 마스크팩 25g,"2,000",https://www.29cm.co.kr/product/749188,뷰티
보나쥬르,가지 BHA 수분크림 50ml,"25,000",https://www.29cm.co.kr/product/746660,뷰티
보나쥬르,더마 MDK 리페어 앰플 13g,"28,000",https://www.29cm.co.kr/product/749275,뷰티
보나쥬르,그린티 폼 클렌징 150ml,"10,500",https://www.29cm.co.kr/product/666502,뷰티
메이크프렘,세이프 미 릴리프 모이스처 클렌징 오일,"24,000",https://www.29cm.co.kr/product/552330,뷰티
메이크프렘,탱자C 잡티 세럼 (40ml),"28,000",https://www.29cm.co.kr/product/669024,뷰티
세럼카인드,CHAGA CHARGING POWDER 차가 차징 파우더,"30,000",https://www.29cm.co.kr/product/876096,뷰티
세럼카인드,BLACK BLOSSOM DROP 블랙 블라썸 드롭,"43,000",https://www.29cm.co.kr/product/577599,뷰티
보나쥬르,100% 유기농 호호바오일 12ml,"18,000",https://www.29cm.co.kr/product/748506,뷰티
바이탈뷰티,"#안찔순 없어도, 덜찔순 있어요# 메타그린 슬림 리필형(60일분) 다이어트 / 카테킨 / 비건","59,000",https://www.29cm.co.kr/product/1091728,뷰티
라카,[선물용] 소울 비건 립밤 + 쇼핑백 증정,"13,000",https://www.29cm.co.kr/product/1408334,뷰티
허블룸,콤부차 비건 콜라겐 크림,"43,000",https://www.29cm.co.kr/product/1331426,뷰티
