name,url,img_url,price
"
                                                        풀무원 두부면 넓은면, 100g, 3개
                                                    ",https://www.coupang.com/vp/products/1683501650?itemId=2867653218&vendorItemId=70856881228&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=6a1443bdb9494c38b7a883f930da5b23&q=비건,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/09/11/7/e940ed85-c727-4e7d-943e-b9c81150873d.jpg,6360
"랩노쉬 마시는식사 비건 카카오, 240ml, 24개",https://www.coupang.com/vp/products/4633154196?itemId=5754665694&vendorItemId=73053268890,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,37600
엘리샤코이 에이치 브리또 [오리지널] 5개 세트 비건푸드 대체육 건강식 가벼운한끼 베지테리언,https://www.coupang.com/vp/products/6252999654?itemId=12685386622&vendorItemId=80324960218,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,16800
"고기대신 비건 제육볶음 (냉동), 500g, 1팩",https://www.coupang.com/vp/products/5848900776?itemId=10172502833&vendorItemId=77455077770,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,12590
"맛있는풍경 유기농 누룽지 오트밀 채소 비건 5p, 200g, 1개",https://www.coupang.com/vp/products/6326546419?itemId=13211768516&vendorItemId=80470193407,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5500
"베지가든 비건 바삭 탕수육 (냉동), 500g, 1개",https://www.coupang.com/vp/products/5071765872?itemId=6864452718&vendorItemId=74157046274,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,10700
"베지가든 체다치즈향 소스, 1kg, 1팩",https://www.coupang.com/vp/products/5071729548?itemId=6864343826&vendorItemId=74156937880,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,19780
"베지가든 속이 보이는 알찬만두 매콤한 김치맛 (냉동), 180g, 3팩",https://www.coupang.com/vp/products/5952743330?itemId=10647519042&vendorItemId=77928416274,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,8640
"사조대림 채담만두 350gX4 비건만두 채소만두 유부60g증정, 1세트",https://www.coupang.com/vp/products/2317318406?itemId=4000026422&vendorItemId=80497659847,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,32860
"그린부처 비건 떡갈비 (냉동), 280g, 1개",https://www.coupang.com/vp/products/6082187120?itemId=11280961926&vendorItemId=78557795383,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,7980
"올가니카 식물성 채식쉐이크 스마트밀 OMG 내추럴, 770g, 1개",https://www.coupang.com/vp/products/271086544?itemId=851860492&vendorItemId=5163669187,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,21400
"고기대신 베지 오징어링 (냉동), 250g, 1팩",https://www.coupang.com/vp/products/5673188526?itemId=9347545664&vendorItemId=76632793793,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,8980
"베지가든 비건 속이꽉찬 한입완자 (냉동), 400g, 1개",https://www.coupang.com/vp/products/5071765054?itemId=6864450321&vendorItemId=74157043433,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,12680
"그린부처 비건 한입까스 (냉동), 280g, 1개",https://www.coupang.com/vp/products/6009881600?itemId=10901321695&vendorItemId=78181184879,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,6980
